"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"15.12.2016","15,86","15,63","15,88","15,33","-","-7,31%"
"14.12.2016","17,11","17,23","17,42","17,10","-","1,42%"
"13.12.2016","16,87","16,82","16,94","16,53","-","-0,35%"
"12.12.2016","16,93","16,98","17,09","16,64","-","1,87%"
"09.12.2016","16,62","16,71","16,96","16,32","-","2,85%"
"08.12.2016","16,16","17,33","17,77","16,16","-","-5,72%"
"07.12.2016","17,14","17,61","17,64","16,98","-","-2,78%"
"06.12.2016","17,63","18,77","18,77","17,60","-","-7,01%"
"05.12.2016","18,96","20,43","20,43","18,95","-","-16,18%"
"02.12.2016","22,62","23,17","23,92","22,37","-","0,09%"
"01.12.2016","22,60","21,93","22,72","21,41","-","5,41%"
"30.11.2016","21,44","21,66","21,88","20,88","-","-1,65%"
"29.11.2016","21,80","22,59","22,61","21,79","-","-3,24%"
"28.11.2016","22,53","21,77","22,83","21,60","-","10,39%"
"25.11.2016","20,41","20,04","20,88","20,00","-","1,90%"
"24.11.2016","20,03","19,93","20,40","19,76","-","-0,79%"
"23.11.2016","20,19","20,34","20,90","19,92","-","-0,30%"
"22.11.2016","20,25","20,28","20,31","19,94","-","-1,46%"
"21.11.2016","20,55","20,95","21,01","20,04","-","0,88%"
"18.11.2016","20,37","19,97","20,76","19,68","-","2,11%"
"17.11.2016","19,95","21,21","21,29","19,94","-","-5,50%"
"16.11.2016","21,11","20,35","22,04","20,02","-","2,28%"
"15.11.2016","20,64","21,72","22,04","20,62","-","-6,99%"
"14.11.2016","22,19","21,35","22,61","21,05","-","1,05%"
"11.11.2016","21,96","20,87","22,57","20,77","-","4,08%"
"10.11.2016","21,10","19,84","21,72","19,41","-","0,00%"
"09.11.2016","21,10","22,63","24,13","21,04","-","-15,36%"
"08.11.2016","24,93","24,09","25,76","23,78","-","1,26%"
"07.11.2016","24,62","24,17","24,91","23,04","-","-2,34%"
"04.11.2016","25,21","25,46","26,03","25,15","-","2,15%"
"03.11.2016","24,68","23,47","24,79","23,18","-","4,36%"
"02.11.2016","23,65","24,54","24,63","23,21","-","0,81%"
"01.11.2016","23,46","21,25","23,48","20,98","-","9,42%"
"31.10.2016","21,44","20,72","21,79","20,72","-","11,26%"
"28.10.2016","19,27","20,05","20,16","19,04","-","2,88%"
"27.10.2016","18,73","19,10","19,31","18,26","-","0,32%"
"26.10.2016","18,67","18,25","19,22","18,22","-","2,41%"
"25.10.2016","18,23","17,75","18,33","17,33","-","2,94%"
"24.10.2016","17,71","17,13","17,72","17,06","-","6,69%"
"21.10.2016","16,60","17,08","17,38","16,58","-","-3,60%"
"20.10.2016","17,22","18,13","18,23","17,13","-","-4,70%"
"19.10.2016","18,07","19,11","19,17","17,76","-","-5,24%"
"18.10.2016","19,07","19,85","19,87","19,04","-","-7,52%"
"17.10.2016","20,62","20,73","20,94","19,97","-","5,96%"
"14.10.2016","19,46","20,27","20,27","19,05","-","-7,02%"
"13.10.2016","20,93","21,54","21,75","20,83","-","3,97%"
"12.10.2016","20,13","19,77","20,34","19,51","-","1,26%"
"11.10.2016","19,88","19,46","19,88","18,67","-","3,22%"
"10.10.2016","19,26","20,69","21,00","19,23","-","-3,89%"
"07.10.2016","20,04","20,05","20,60","19,47","-","4,54%"
"06.10.2016","19,17","19,19","19,93","19,06","-","-1,39%"
"05.10.2016","19,44","20,28","20,39","19,15","-","1,20%"
"04.10.2016","19,21","19,91","19,97","19,02","-","-5,83%"
"03.10.2016","20,40","20,58","20,96","19,81","-","3,19%"
"30.09.2016","19,77","23,58","23,69","19,64","-","-0,95%"
"29.09.2016","19,96","18,72","20,20","18,38","-","1,37%"
"28.09.2016","19,69","19,50","20,03","19,12","-","-4,70%"
"27.09.2016","20,66","19,54","21,60","19,44","-","2,18%"
"26.09.2016","20,22","19,14","20,31","19,14","-","20,14%"
"23.09.2016","16,83","17,24","17,52","16,81","-","-2,55%"
"22.09.2016","17,27","18,25","18,35","17,05","-","-14,04%"
"21.09.2016","20,09","19,56","20,20","18,92","-","-2,95%"
"20.09.2016","20,70","20,36","20,74","19,89","-","1,87%"
"19.09.2016","20,32","20,96","21,08","20,22","-","-4,65%"
"16.09.2016","21,31","20,73","22,00","20,46","-","3,70%"
"15.09.2016","20,55","21,67","22,09","20,52","-","-7,47%"
"14.09.2016","22,21","22,58","23,12","21,89","-","-2,50%"
"13.09.2016","22,78","21,11","22,81","21,11","-","4,02%"
"12.09.2016","21,90","22,11","23,30","21,86","-","13,47%"
"09.09.2016","19,30","17,96","19,41","17,31","-","8,37%"
"08.09.2016","17,81","18,70","18,97","17,73","-","-4,09%"
"07.09.2016","18,57","19,03","19,44","18,51","-","-2,67%"
"06.09.2016","19,08","18,38","19,12","18,01","-","3,64%"
"05.09.2016","18,41","18,83","18,88","18,38","-","0,60%"
"02.09.2016","18,30","19,71","20,11","18,25","-","-8,77%"
"01.09.2016","20,06","19,33","20,49","19,07","-","3,30%"
"31.08.2016","19,42","19,59","19,80","19,01","-","0,26%"
"30.08.2016","19,37","20,02","20,05","19,32","-","-4,06%"
"29.08.2016","20,19","20,25","21,26","20,14","-","3,59%"
"26.08.2016","19,49","20,53","20,97","19,36","-","-4,51%"
"25.08.2016","20,41","20,66","21,19","20,23","-","2,92%"
"24.08.2016","19,83","20,83","20,85","19,71","-","-1,93%"
"23.08.2016","20,22","20,94","21,08","19,90","-","-6,65%"
"22.08.2016","21,66","21,93","22,18","20,80","-","2,51%"
"19.08.2016","21,13","20,76","21,61","20,55","-","3,99%"
"18.08.2016","20,32","20,78","20,95","20,05","-","-4,11%"
"17.08.2016","21,19","20,39","21,64","19,90","-","5,58%"
"16.08.2016","20,07","19,60","20,35","18,94","-","6,59%"
"15.08.2016","18,83","18,57","19,12","18,18","-","5,20%"
"12.08.2016","17,90","18,29","18,68","17,90","-","-2,51%"
"11.08.2016","18,36","19,05","19,47","18,36","-","-4,33%"
"10.08.2016","19,19","18,30","19,33","17,89","-","4,92%"
"09.08.2016","18,29","18,85","18,94","17,97","-","-3,43%"
"08.08.2016","18,94","19,48","19,49","18,75","-","-1,87%"
"05.08.2016","19,30","20,56","20,73","19,22","-","-9,86%"
"04.08.2016","21,41","22,17","22,37","21,28","-","-6,71%"
"03.08.2016","22,95","22,94","24,20","22,72","-","-0,74%"
"02.08.2016","23,12","21,10","23,43","21,09","-","13,72%"
"01.08.2016","20,33","20,18","21,16","19,80","-","0,40%"
"29.07.2016","20,25","20,96","21,00","20,11","-","-3,53%"
"28.07.2016","20,99","20,66","21,13","20,26","-","2,24%"
"27.07.2016","20,53","19,82","20,77","19,34","-","1,94%"
"26.07.2016","20,14","20,04","20,79","19,91","-","1,10%"
"25.07.2016","19,92","19,79","20,13","19,34","-","4,18%"
"22.07.2016","19,12","19,91","20,05","18,64","-","-1,70%"
"21.07.2016","19,45","20,81","21,30","19,36","-","-4,38%"
"20.07.2016","20,34","20,96","20,99","20,06","-","-3,19%"
"19.07.2016","21,01","21,28","22,32","20,95","-","0,82%"
"18.07.2016","20,84","21,10","22,00","20,69","-","-0,38%"
"15.07.2016","20,92","22,19","22,34","20,92","-","-4,08%"
"14.07.2016","21,81","22,07","22,70","21,33","-","-5,54%"
"13.07.2016","23,09","22,46","23,18","22,18","-","3,45%"
"12.07.2016","22,32","23,20","23,24","21,45","-","-5,30%"
"11.07.2016","23,57","24,78","24,96","23,23","-","-4,26%"
"08.07.2016","24,62","26,42","26,42","24,50","-","-7,27%"
"07.07.2016","26,55","26,76","27,20","26,05","-","-6,05%"
"06.07.2016","28,26","26,99","29,19","26,52","-","5,80%"
"05.07.2016","26,71","26,17","27,42","25,86","-","6,93%"
"04.07.2016","24,98","25,56","25,78","24,84","-","-0,16%"
"01.07.2016","25,02","25,86","26,91","24,64","-","-4,06%"
"30.06.2016","26,08","28,95","29,16","25,86","-","-8,65%"
"29.06.2016","28,55","28,95","29,24","27,44","-","-7,93%"
"28.06.2016","31,01","32,10","32,11","29,50","-","-11,40%"
"27.06.2016","35,00","35,12","36,06","33,61","-","-1,21%"
"24.06.2016","35,43","40,61","42,27","31,64","-","10,51%"
"23.06.2016","32,06","36,19","36,86","29,81","-","-11,04%"
"22.06.2016","36,04","34,61","37,14","34,61","-","4,55%"
"21.06.2016","34,47","34,41","34,82","33,10","-","0,73%"
"20.06.2016","34,22","34,83","35,39","33,18","-","-10,02%"
"17.06.2016","38,03","37,69","38,51","36,63","-","-4,69%"
"16.06.2016","39,90","38,61","42,26","38,25","-","5,86%"
"15.06.2016","37,69","36,74","38,33","36,43","-","-1,70%"
"14.06.2016","38,34","37,08","38,39","35,69","-","11,58%"
"13.06.2016","34,36","34,47","34,92","33,33","-","13,66%"
"10.06.2016","30,23","27,21","30,32","27,21","-","16,99%"
"09.06.2016","25,84","24,92","26,03","24,92","-","6,25%"
"08.06.2016","24,32","24,24","24,54","23,51","-","4,15%"
"07.06.2016","23,35","23,44","23,66","23,00","-","-2,91%"
"06.06.2016","24,05","24,53","24,69","23,92","-","2,12%"
"03.06.2016","23,55","22,91","24,51","22,21","-","1,90%"
"02.06.2016","23,11","23,74","24,04","23,03","-","-3,43%"
